cell_id,edit_lines,p_nominal,rate_lambda,tau,model_expected_overlap_pairs_p_lambda_tau_squared,first_order_overlap_pairs_per_time_all_agent_pairs,selection,same_structural_inclusive_median_E_position,same_structural_inclusive_median_E_target_tau,same_structural_inclusive_median_E_tau_ci_low,same_structural_inclusive_median_E_tau_ci_high,same_any_content_median_E_position,same_any_content_median_E_target_tau,same_any_content_median_E_tau_ci_low,same_any_content_median_E_tau_ci_high,same_content_only_median_E_position,same_content_only_median_E_target_tau,same_content_only_median_E_tau_ci_low,same_content_only_median_E_tau_ci_high,cross_structural_inclusive_median_E_position,cross_structural_inclusive_median_E_target_tau,cross_structural_inclusive_median_E_tau_ci_low,cross_structural_inclusive_median_E_tau_ci_high,cross_any_content_median_E_position,cross_any_content_median_E_target_tau,cross_any_content_median_E_tau_ci_low,cross_any_content_median_E_tau_ci_high,cross_content_only_median_E_position,cross_content_only_median_E_target_tau,cross_content_only_median_E_tau_ci_low,cross_content_only_median_E_tau_ci_high,overlap_pairs_per_time_n,overlap_pairs_per_time_mean,overlap_pairs_per_time_ci95_low,overlap_pairs_per_time_ci95_high,first_failures_per_time_n,first_failures_per_time_mean,first_failures_per_time_ci95_low,first_failures_per_time_ci95_high,mean_first_failure_overlap_lines_n,mean_first_failure_overlap_lines_mean,mean_first_failure_overlap_lines_ci95_low,mean_first_failure_overlap_lines_ci95_high
b6b215524f557569,4,0.00343506381915,1,0.125,5.36728721742e-05,0.00257629786436,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,8.00717732496,7.31411563496,8.75063190875,below interval,7.54858855199,6.86184765089,8.28970505148,below interval,6.7843455202,6.10799266886,7.52273151865,below interval,12.5402452505,10.8244942784,14.384271295,below interval,12.3671186777,10.6604067123,14.205933312,below interval,10.4547765541,8.84128444856,12.2474159107,30,0.002864583333333333,0.0017076216335521622,0.004021545033114504,30,0.002864583333333333,0.0017076216335521622,0.004021545033114504,16,2.4270833333333335,1.9868212191710237,2.8673454474956435
1b2a85e65f1c4823,4,0.00343506381915,1,0.25,0.000214691488697,0.00515259572873,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,8.00717732496,7.31411563496,8.75063190875,below interval,7.54858855199,6.86184765089,8.28970505148,below interval,6.7843455202,6.10799266886,7.52273151865,below interval,12.5402452505,10.8244942784,14.384271295,below interval,12.3671186777,10.6604067123,14.205933312,below interval,10.4547765541,8.84128444856,12.2474159107,30,0.005598958333333333,0.004055291602502471,0.007142625064164196,30,0.005598958333333333,0.004055291602502471,0.007142625064164196,23,2.489130434782609,2.154443280266767,2.823817589298451
d1ddb50b0a791d87,4,0.00343506381915,1,0.5,0.000858765954788,0.0103051914575,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,8.00717732496,7.31411563496,8.75063190875,below interval,7.54858855199,6.86184765089,8.28970505148,below interval,6.7843455202,6.10799266886,7.52273151865,below interval,12.5402452505,10.8244942784,14.384271295,below interval,12.3671186777,10.6604067123,14.205933312,below interval,10.4547765541,8.84128444856,12.2474159107,30,0.010416666666666666,0.008802587444289056,0.012030745889044276,30,0.010416666666666666,0.008802587444289056,0.012030745889044276,29,2.339080459770115,2.1430316813240635,2.5351292382161663
3a21c8a4cd992bd8,4,0.00343506381915,1,1,0.00343506381915,0.0206103829149,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,8.00717732496,7.31411563496,8.75063190875,below interval,7.54858855199,6.86184765089,8.28970505148,below interval,6.7843455202,6.10799266886,7.52273151865,below interval,12.5402452505,10.8244942784,14.384271295,below interval,12.3671186777,10.6604067123,14.205933312,below interval,10.4547765541,8.84128444856,12.2474159107,30,0.019010416666666665,0.01619713120269895,0.02182370213063438,30,0.019010416666666665,0.01619713120269895,0.02182370213063438,29,2.31672140120416,2.1342574261684932,2.4991853762398266
38f8c3ac8f6eb58e,4,0.00343506381915,1,2,0.0137402552766,0.0412207658298,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,8.00717732496,7.31411563496,8.75063190875,below interval,7.54858855199,6.86184765089,8.28970505148,below interval,6.7843455202,6.10799266886,7.52273151865,below interval,12.5402452505,10.8244942784,14.384271295,below interval,12.3671186777,10.6604067123,14.205933312,below interval,10.4547765541,8.84128444856,12.2474159107,30,0.037760416666666664,0.03397506535554492,0.04154576797778841,30,0.0375,0.0338364582363087,0.041163541763691296,30,2.2956301106301105,2.186359539024164,2.404900682236057
cc3faf54a13c1e38,4,0.00343506381915,1,8,0.219844084426,0.164883063319,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,inside interval,8.00717732496,7.31411563496,8.75063190875,inside interval,7.54858855199,6.86184765089,8.28970505148,above interval,6.7843455202,6.10799266886,7.52273151865,below interval,12.5402452505,10.8244942784,14.384271295,below interval,12.3671186777,10.6604067123,14.205933312,below interval,10.4547765541,8.84128444856,12.2474159107,30,0.15,0.1406727581390446,0.1593272418609554,30,0.14375,0.13538391158099397,0.152116088419006,30,2.2997134982638032,2.226605133222788,2.3728218633048184
e2d2846d32941999,4,0.00343506381915,1,32,3.51750535081,0.659532253277,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,above interval,8.00717732496,7.31411563496,8.75063190875,above interval,7.54858855199,6.86184765089,8.28970505148,above interval,6.7843455202,6.10799266886,7.52273151865,above interval,12.5402452505,10.8244942784,14.384271295,above interval,12.3671186777,10.6604067123,14.205933312,above interval,10.4547765541,8.84128444856,12.2474159107,30,0.6014322916666667,0.5794483336470417,0.6234162496862916,30,0.4869791666666667,0.46744280622414114,0.5065155271091922,30,2.4023722770827933,2.3690657572615006,2.435678796904086
8f430b3e192ebef5,16,0.0155623181419,1,0.125,0.000243161220967,0.0116717386064,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,3.76192130826,3.43630799488,4.11121014339,below interval,3.54646774619,3.22382405738,3.89465810569,below interval,3.18741211031,2.86964892111,3.53431962948,below interval,5.89164119942,5.08554937956,6.75799904164,below interval,5.81030310522,5.00845797942,6.67421252972,below interval,4.91184909437,4.15380039802,5.75406451185,30,0.012369791666666666,0.009318679878603322,0.01542090345473001,30,0.012369791666666666,0.009318679878603322,0.01542090345473001,27,8.948500881834216,7.916969253387197,9.980032510281234
08cc50fc52a30529,16,0.0155623181419,1,0.25,0.000972644883869,0.0233434772129,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,3.76192130826,3.43630799488,4.11121014339,below interval,3.54646774619,3.22382405738,3.89465810569,below interval,3.18741211031,2.86964892111,3.53431962948,below interval,5.89164119942,5.08554937956,6.75799904164,below interval,5.81030310522,5.00845797942,6.67421252972,below interval,4.91184909437,4.15380039802,5.75406451185,30,0.025,0.021122037770164016,0.028877962229835987,30,0.025,0.021122037770164016,0.028877962229835987,30,8.59108669108669,7.8857805628155315,9.29639281935785
9d16bc137d8d2c3c,16,0.0155623181419,1,0.5,0.00389057953548,0.0466869544257,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,3.76192130826,3.43630799488,4.11121014339,below interval,3.54646774619,3.22382405738,3.89465810569,below interval,3.18741211031,2.86964892111,3.53431962948,below interval,5.89164119942,5.08554937956,6.75799904164,below interval,5.81030310522,5.00845797942,6.67421252972,below interval,4.91184909437,4.15380039802,5.75406451185,30,0.04895833333333333,0.0435916297711788,0.054325036895487865,30,0.04869791666666667,0.043445420353222075,0.05395041298011126,30,8.499995367692737,8.015339231477135,8.984651503908339
113039f88ca6a69d,16,0.0155623181419,1,1,0.0155623181419,0.0933739088514,n=4; dependency=0; avoidance=0; clean_first Figure 5 slice,below interval,3.76192130826,3.43630799488,4.11121014339,below interval,3.54646774619,3.22382405738,3.89465810569,below interval,3.18741211031,2.86964892111,3.53431962948,below interval,5.89164119942,5.08554937956,6.75799904164,below interval,5.81030310522,5.00845797942,6.67421252972,below interval,4.91184909437,4.15380039802,5.75406451185,30,0.096875,0.0896218546260197,0.10412814537398031,30,0.09518229166666667,0.08792837221926189,0.10243621111407145,30,8.135897669384136,7.753651492995754,8.518143845772517
